ResponseId,Duration (in seconds),party,party_4_TEXT,anes_rep,anes_dem,anes_ind,anes_ind_force,SPV_1_meta_out_2,SPV_2_meta_out_2,SPV_3_meta_out_1,SPV_4_meta_out_2,out_corr_time_Page Submit,out_cont_time_Page Submit,manip_ck_1,SPV_1_2,SPV_2_2,SPV_3_1,SPV_4_2,ESPV_1_2,ESPV_2_2,ESPV_3_1,ft_rep_1,ft_dem_1,CSV_1_1,CSV_2_1,CSV_3_1,ancodi_1,ancodi_2,ancodi_3,rep_violence_1,dem_violence_1,sd_marriage_1,sd_friend_1,sd_work_1,sd_carpool_1,YOB,Gender,race,education,polit,religious,region,employed,income,ladder,screen_reason,condition,Inparty,Outparty,IP_dup,MID_dup,gc
R_ZL9vwpdnShTaDQZ,723,1,NA,1,NA,NA,NA,42,42,40,37,NA,11.771,36,11,3,3,0,9,1,0,90,0,52,49,49,24,18,11,0,64,71,51,48,48,1985,2,1,3,7,6,3,7,45000,6,none,out_control,Republican,Democrat,0,0,1
R_0SBYm4c9zGbz3nX,1438,1,NA,2,NA,NA,NA,15,14,4,10,54.035,NA,3,5,0,1,0,1,0,0,77,28,38,45,45,63,39,10,75,60,13,29,27,15,1987,2,3,3,5,6,3,1,35000,5,none,out_correct,Republican,Democrat,0,0,1
R_1NwCpEgdTKORAGb,626,1,NA,1,NA,NA,NA,0,0,0,54,52.842,NA,30,1,0,0,0,20,9,0,100,0,60,60,60,12,0,12,60,83,0,0,0,0,1984,2,1,3,4,7,4,2,45000,7,none,out_correct,Republican,Democrat,0,0,1
R_22M4iiZjP2Gjh5k,441,2,NA,NA,1,NA,NA,99,100,91,87,NA,5.766,92,0,0,0,0,0,0,0,0,100,0,0,0,100,100,100,91,0,100,96,90,87,1997,2,1,4,1,1,1,3,112500,5,none,out_control,Democrat,Republican,0,0,1
R_1nPkzbZcBVcyztz,465,1,NA,1,NA,NA,NA,78,80,78,80,31.499,NA,50,0,0,0,0,0,0,0,100,24,0,0,0,39,50,80,0,68,0,0,0,0,1988,2,1,2,7,4,3,4,65000,6,none,out_correct,Republican,Democrat,0,0,1
R_3PWYU31uVrWKc7f,495,2,NA,NA,1,NA,NA,70,56,30,20,33.54,NA,10,0,0,0,0,0,0,0,50,90,51,51,50,35,21,22,85,0,50,70,10,35,1967,2,1,4,1,1,4,2,150000,5,none,out_correct,Democrat,Republican,0,0,1
R_1LRVj7vgUWm0t7D,218,2,NA,NA,2,NA,NA,32,0,1,52,2.218,NA,23,0,3,0,0,3,5,2,0,51,1,7,10,88,100,100,97,4,58,78,55,51,1990,2,1,4,4,1,4,1,95000,6,none,out_correct,Democrat,Republican,0,0,1
R_2bZ9IOFmR8C2t4T,753,1,NA,1,NA,NA,NA,30,23,35,31,NA,29.544,26,5,2,0,2,2,1,0,80,20,58,56,51,8,29,29,13,30,53,10,1,2,1958,2,1,4,6,7,2,1,75000,4,none,out_control,Republican,Democrat,0,0,1
R_1LHEB7quNgwk4L8,723,2,NA,NA,1,NA,NA,82,83,82,83,46.328,NA,62,2,3,5,4,12,31,11,0,98,76,50,50,0,0,0,9,13,50,18,50,41,1978,2,2,3,2,5,1,1,35000,7,none,out_correct,Democrat,Republican,0,0,1
R_8GlCuHCtfMuXVpT,293,2,NA,NA,1,NA,NA,11,62,12,37,NA,13.328,30,0,17,0,0,0,1,0,0,100,50,50,50,76,100,63,41,0,78,96,21,63,1996,2,1,3,1,1,2,1,25000,8,none,out_control,Democrat,Republican,0,0,1
